Id,Name,Ward,CouncilPosition,Party,PartyPosition,Parish1,Parish2,Parish3,Parish4,ParishPosition1,ParishPosition2,ParishPosition3,ParishWard1,ParishWard2,ParishWard3,ImageUrl
19,Julie Kaur,Hadley & Leegomery,Deputy speaker,Labour,,Hadley and Leegomery Parish Council,,,,,,,Hadley Manor,,,https://democracy.telford.gov.uk/UserData/2/0/9/Info00000902/smallpic.jpg
20,Gilly Latham-Reynolds,Oakengates,,Labour,,,,,,,,,,,,https://democracy.telford.gov.uk/UserData/4/3/1/Info00000134/smallpic.jpg
21,Luke Lewis,Lawley,,Labour,,Lawley and Overdale Parish Council,,,,,,,Lawley West,,,https://democracy.telford.gov.uk/UserData/9/1/8/Info00000819/smallpic.jpg
22,Giles Luter,Ercall,,Labour,,Wellington Town Council,,,,,,,Ercall,,,https://democracy.telford.gov.uk/UserData/4/1/8/Info00000814/smallpic.jpg
23,Angela McClements,Arleston & College,Cabinet Member for Culture Tourism & Leisure,Labour,,,,,,,,,,,,https://democracy.telford.gov.uk/UserData/0/3/1/Info00000130/smallpic.jpg
24,Raj Mehta,Horsehay & Lightmoor,,Labour,Deputy Mayor,Great Dawley Town Council,Dawley Hamlets Parish Council,,,,,,Malinslee,Horsehay,,https://democracy.telford.gov.uk/UserData/1/3/1/Info00000131/smallpic.jpg
25,Kelly Middleton,Woodside,Cabinet Member for Public Health and Unlocking Opportunities for All,Labour,,Madeley Town Council,,,,,,,Woodside,,,https://democracy.telford.gov.uk/UserData/6/1/3/Info00000316/smallpic.jpg
26,Helena Morgan,Woodside,,Labour,,Madeley Town Council,,,,,,,Woodside,,,https://democracy.telford.gov.uk/UserData/5/2/8/Info00000825/smallpic.jpg
27,Nathalie Morgan,The Nedge,Mayor,Labour,,,,,,,,,,,,https://democracy.telford.gov.uk/UserData/3/0/9/Info00000903/smallpic.jpg
28,Lyndsey Parker,Dawley & Aqueduct,,Labour,,Great Dawley Town Council,,,,,,,Dawley,,,https://democracy.telford.gov.uk/UserData/1/1/8/Info00000811/smallpic.jpg
29,Ian Preece,Horsehay,,Labour,,Great Dawley Town Council,Dawley Hamlets Parish Council,The Gorge Parish Council,,,,,Dawley,Horsehay,Lightmoor,https://democracy.telford.gov.uk/UserData/1/6/6/Info00000661/smallpic.jpg
30,Shirley Reynolds,Wrockwardine,Cabinet Member for Children Young People Education Employment & Skills,Labour,,Oakengates Town Council,Wrockwardine Wood and Trench Parish Council,,,,Chair,,North,Trench,,https://democracy.telford.gov.uk/UserData/9/6/1/Info00000169/smallpic.jpg
31,Stephen Reynolds,Oakengates,,Labour,,Oakengates Town Council,Wrockwardine Wood and Trench Parish Council,,,Chair,,,Hollyhurst,Trench,,https://democracy.telford.gov.uk/UserData/9/3/1/Info00000139/smallpic.jpg
32,Hilda Rhodes,Oakengates,,Labour,,Oakengates Town Council,Ketley Parish Council,,,,,,Oakengates and Wombridge,Ketley,,https://democracy.telford.gov.uk/UserData/9/2/1/Info00000129/smallpic.jpg
33,Rabir Sahota,Ketley,Wife of Lord Sahota,Labour,,Ketley Parish Council,,,,,,,Ketley,,,https://democracy.telford.gov.uk/UserData/6/1/8/Info00000816/smallpic.jpg
34,John Thompson,Wrockwardine,,Labour,,Wrockwardine Wood and Trench Parish Council,,,,,,,Trench,,,https://democracy.telford.gov.uk/UserData/3/2/3/Info00000323/smallpic.jpg
35,Ollie Vickers,Donnington,Cabinet Member for Jobs Transport & Digital Connectivity,Labour,,Donnington and Muxton Parish Council,,,,,,,Donnington West,,,https://democracy.telford.gov.uk/UserData/3/1/8/Info00000813/smallpic.jpg
36,Paul Watling,Madley & Sutton Hill,Cabinet Member for Adult Care and Independent Living,Labour,,Madeley Town Council,,,,,,,Madeley Village,,,https://democracy.telford.gov.uk/UserData/3/2/1/Info00000123/smallpic.jpg
37,Derek White,Madeley & Sutton Hill,,Labour,,Madeley Town Council,,,,,,,Cuckoo Oak,,,https://democracy.telford.gov.uk/UserData/0/2/3/Info00000320/smallpic.jpg
38,Steve Bentley,Ercall Magna,,Conservative,,Ercall Magna Parish Council,Kynnersley Parish Council,,,,,,High Ercall,,,https://democracy.telford.gov.uk/UserData/8/4/1/Info00000148/smallpic.png
39,Stephen Burrell,Edgmond,,Conservative,,Tibberton and Cherrington Parish Council,,,,,,,,,,https://democracy.telford.gov.uk/UserData/2/5/1/Info00000152/smallpic.jpg
40,Nigel Dugmore,Muxton,,Conservative,,Donnington and Muxton Parish Council,,,,,,,Muxton,,,https://democracy.telford.gov.uk/UserData/6/5/1/Info00000156/smallpic.jpg
41,Andrew Eade,Church Aston & Lilleshall,,Conservative,Group Leader,Chetwynd Aston and Woodcote Parish Council,,,,,,,,,,https://democracy.telford.gov.uk/UserData/1/2/1/Info00000121/smallpic.jpg
42,Tim Nelson,Newport North,,Conservative,,Newport Town Council,,,,,,,North,,,https://democracy.telford.gov.uk/UserData/4/6/1/Info00000164/smallpic.jpg
43,Gareth Thomas,Wrockwardine,,Conservative,,Wrockwardine Parish Council,,,,,,,Wrockwardine,,,https://democracy.telford.gov.uk/UserData/9/0/8/Info00000809/smallpic.jpg
44,Paul Thomas,Priorslee,,Conservative,,St. Georges and Priorslee Parish Council,,,,,,,Priorslee,,,https://democracy.telford.gov.uk/UserData/6/2/8/Info00000826/smallpic.jpg
45,Rachael Tyrell,Priorslee,,Conservative,,St. Georges and Priorslee Parish Council,,,,,,,Priorslee,,,https://democracy.telford.gov.uk/UserData/7/2/8/Info00000827/smallpic.jpg
46,Karen Blundell,Apley Castle,,Liberal Democrat,,,,,,,,,,,,https://democracy.telford.gov.uk/UserData/7/2/1/Info00000127/smallpic.jpg
47,Thomas Janke,Newport South,Deputy Group Leader,Liberal Democrat,,Newport Town Council,,,,,,,South,,,https://democracy.telford.gov.uk/UserData/2/2/3/Info00000322/smallpic.jpg
48,Sarah Syrda,Newport East,,Liberal Democrat,,Newport Town Council,,,,,,,East,,,https://democracy.telford.gov.uk/UserData/2/2/8/Info00000822/smallpic.jpg
49,Karen Tomlinson,Shawbirch & Dothill,,Liberal Democrat,,Wellington Town Council,,,,,,,Dothill,,,https://democracy.telford.gov.uk/UserData/4/4/1/Info00000144/smallpic.jpg
50,Bill Tomlinson,Shawbirch & Dothill,Group Leader,Liberal Democrat,,,,,,,,,,,,https://democracy.telford.gov.uk/UserData/7/4/1/Info00000147/smallpic.jpg
51,Kim Tonks,Admaston & Bratton,,Liberal Democrat,,Wrockwardine Parish Council,,,,,,,Admaston & Bratton,,,https://democracy.telford.gov.uk/UserData/0/1/8/Info00000810/smallpic.jpg
52,Richard Overton,St Georges,,Independent,,Donnington and Muxton Parish Council,St. Georges and Priorslee Parish Council,Wrockwardine Wood and Trench Parish Council,,,,,Donnington East,St Georges West,Wrockwardine Wood East,https://democracy.telford.gov.uk/UserData/0/2/1/Info00000120/smallpic.jpg
53,Peter Scott,Newport West,,Independent,,Newport Town Council,,,,,,,West,,,https://democracy.telford.gov.uk/UserData/3/6/1/Info00000163/smallpic.jpg
54,Jenny Urey,Muxton,,Independent,,Donnington and Muxton Parish Council,,,,,,,Muxton,,,https://democracy.telford.gov.uk/UserData/1/2/8/Info00000821/smallpic.jpg
